Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.233000	0.118739	1000	0.233000	0.233000	0.253347	
1000	0.243000	0.118739	1000	0.243000	0.243000	0.253339	
1000	0.227000	0.118739	1000	0.227000	0.227000	0.253318	
1000	0.232000	0.118739	1000	0.232000	0.232000	0.253301	
1000	0.268000	0.118739	1000	0.268000	0.268000	0.253312	
1000	0.267000	0.118739	1000	0.267000	0.267000	0.253323	
1000	0.254000	0.118739	1000	0.254000	0.254000	0.253324	
1000	0.243000	0.118739	1000	0.243000	0.243000	0.253316	
1000	0.239000	0.118739	1000	0.239000	0.239000	0.253304	
1000	0.252000	0.118739	1000	0.252000	0.252000	0.253303	
1000	0.275000	0.118739	1000	0.275000	0.275000	0.253321	
1000	0.264000	0.118739	1000	0.264000	0.264000	0.253329	
1000	0.228000	0.118739	1000	0.228000	0.228000	0.253309	
1000	0.235000	0.118739	1000	0.235000	0.235000	0.253294	
1000	0.261000	0.118739	1000	0.261000	0.261000	0.253300	
1000	0.278000	0.118739	1000	0.278000	0.278000	0.253320	
1000	0.251000	0.118739	1000	0.251000	0.251000	0.253318	
1000	0.266000	0.118739	1000	0.266000	0.266000	0.253328	
1000	0.251000	0.118739	1000	0.251000	0.251000	0.253327	
1000	0.244000	0.118739	1000	0.244000	0.244000	0.253319	
1000	0.258000	0.118739	1000	0.258000	0.258000	0.253323	
1000	0.251000	0.118739	1000	0.251000	0.251000	0.253321	
1000	0.246000	0.118739	1000	0.246000	0.246000	0.253315	
1000	0.272000	0.118739	1000	0.272000	0.272000	0.253330	
1000	0.229000	0.118739	1000	0.229000	0.229000	0.253311	
1000	0.273000	0.118739	1000	0.273000	0.273000	0.253326	
1000	0.259000	0.118739	1000	0.259000	0.259000	0.253331	
1000	0.264000	0.118739	1000	0.264000	0.264000	0.253339	
1000	0.258000	0.118739	1000	0.258000	0.258000	0.253343	
1000	0.250000	0.118739	1000	0.250000	0.250000	0.253340	
1000	0.261000	0.118739	1000	0.261000	0.261000	0.253346	
1000	0.241000	0.118739	1000	0.241000	0.241000	0.253337	
1000	0.268000	0.118739	1000	0.268000	0.268000	0.253348	
1000	0.254000	0.118739	1000	0.254000	0.254000	0.253349	
1000	0.246000	0.118739	1000	0.246000	0.246000	0.253343	
1000	0.264000	0.118739	1000	0.264000	0.264000	0.253351	
1000	0.284000	0.118739	1000	0.284000	0.284000	0.253375	
1000	0.248000	0.118739	1000	0.248000	0.248000	0.253371	
1000	0.248000	0.118739	1000	0.248000	0.248000	0.253367	
1000	0.243000	0.118739	1000	0.243000	0.243000	0.253359	
1000	0.249000	0.118739	1000	0.249000	0.249000	0.253355	
1000	0.228000	0.118739	1000	0.228000	0.228000	0.253335	
1000	0.231000	0.118739	1000	0.231000	0.231000	0.253318	
1000	0.236000	0.118739	1000	0.236000	0.236000	0.253305	
1000	0.242000	0.118739	1000	0.242000	0.242000	0.253296	
1000	0.238000	0.118739	1000	0.238000	0.238000	0.253284	
1000	0.248000	0.118739	1000	0.248000	0.248000	0.253280	
1000	0.243000	0.118739	1000	0.243000	0.243000	0.253272	
1000	0.236000	0.118739	1000	0.236000	0.236000	0.253258	
1000	0.256000	0.118739	1000	0.256000	0.256000	0.253260	
1000	0.286000	0.118739	1000	0.286000	0.286000	0.253286	
1000	0.264000	0.118739	1000	0.264000	0.264000	0.253294	
1000	0.230000	0.118739	1000	0.230000	0.230000	0.253276	
1000	0.266000	0.118739	1000	0.266000	0.266000	0.253286	
1000	0.244000	0.118739	1000	0.244000	0.244000	0.253279	
1000	0.261000	0.118739	1000	0.261000	0.261000	0.253285	
1000	0.263000	0.118739	1000	0.263000	0.263000	0.253292	
1000	0.260000	0.118739	1000	0.260000	0.260000	0.253297	
1000	0.255000	0.118739	1000	0.255000	0.255000	0.253299	
1000	0.267000	0.118739	1000	0.267000	0.267000	0.253309	
1000	0.236000	0.118739	1000	0.236000	0.236000	0.253296	
1000	0.234000	0.118739	1000	0.234000	0.234000	0.253281	
1000	0.275000	0.118739	1000	0.275000	0.275000	0.253298	
1000	0.260000	0.118739	1000	0.260000	0.260000	0.253303	
1000	0.262000	0.118739	1000	0.262000	0.262000	0.253310	
1000	0.250000	0.118739	1000	0.250000	0.250000	0.253307	
1000	0.256000	0.118739	1000	0.256000	0.256000	0.253309	
1000	0.255000	0.118739	1000	0.255000	0.255000	0.253310	
1000	0.273000	0.118739	1000	0.273000	0.273000	0.253325	
1000	0.258000	0.118739	1000	0.258000	0.258000	0.253329	
1000	0.268000	0.118739	1000	0.268000	0.268000	0.253340	
1000	0.261000	0.118739	1000	0.261000	0.261000	0.253346	
1000	0.257000	0.118739	1000	0.257000	0.257000	0.253349	
1000	0.257000	0.118739	1000	0.257000	0.257000	0.253352	
1000	0.244000	0.118739	1000	0.244000	0.244000	0.253345	
1000	0.247000	0.118739	1000	0.247000	0.247000	0.253340	
1000	0.267000	0.118739	1000	0.267000	0.267000	0.253350	
1000	0.225000	0.118739	1000	0.225000	0.225000	0.253329	
1000	0.244000	0.118739	1000	0.244000	0.244000	0.253322	
1000	0.267000	0.118739	1000	0.267000	0.267000	0.253332	
1000	0.246000	0.118739	1000	0.246000	0.246000	0.253326	
1000	0.260000	0.118739	1000	0.260000	0.260000	0.253331	
